0x02cc38531d490cb32e2bb6999bc102da583774e9,1;
0x042262cf9da37a8f198a7448980eb5f50dc2c034,101;
0x0619c7b744c1fd17d9909926e53cfb0e478ffa42,7;
0x06f47b9f103d435ed6042a1dae64ff5d9800d49b,0.15720228407981343;
0x07e816154d42e5dac7ec74a0f673f0057b4ca3bf,51.8;
0x07f83ff80e630eebcababa8a11664f26c13f2e0f,6.5349e-14;
0x08770da8fe1541d771b77c9c997a0e4a085a6e59,11;
0x0cf101a6e33bc42314ca782ff2263ad0615c8994,27.98599762;
0x0f35b4366fac7a8e1f90c093c53177770ebdc47f,16;
0x0f851c4f28cf7a11112610143ca73563beed6719,99.1214783321114;
0x1131d06396394d699d9bb949ec0cb2485e68ad22,28;
0x1369be6611f6c1fea7de031db6ec9cbedeb538b0,26.96;
0x1485e3ee0a1c000d6bdd7bbffdb628f8ba8443c3,2.404e-15;
0x157b77abb1601d55540cfdbc5bf60b4369527820,48;
0x18aa161ff6748b056ab9cafe37afdcfc50321ed5,250;
0x19eaee5be40b5012e60ef7740d9d8f9edb4aa5af,13;
0x1baf3c869c2a0e49ac8fbf37c1b3c832bb6a4ede,50;
0x1c1c4def0585f0642ef156f6c555ced79291cfe9,60;
0x1c932208c2ab02faf06484251b1d20b4d43b5944,20.013021597777495;
0x1f1141749d3e3f7c91bb2857ece76a0d9266eed3,13;
0x1ff351af9274ac31b8373b6d3ea43da04ed71b26,6.8e-17;
0x207cdc3309475b89572b3edd9a836cd8d5505e89,2;
0x20acbf98a0c2e720ea1648861b86909ed5dc3f15,3;
0x20afbf05888cecbb547afb4ec25056444c59f9ad,40;
0x22f3843a6fd4094c575af8a36843917bc49f2372,438.1706407086699;
0x23ae50981b509caa373e114d26544a271317dfa6,33;
0x24950f31e4ad6f8fb89eb8c5d13e90228e00bf0e,50;
0x261a3e9e286a28c22b18f1384fd9c8ef4a22aa17,200.4997125807072;
0x2a946e3eb823a90137c14bce706a9f12e350255d,13;
0x2b60d9f8ce8d43ec418807c0ccdc539aab1886b6,5.73856253;
0x2b823bfef47c8240190c17574b82b784e1dcb61f,5.01;
0x2c3b89eb664677e95cb8317fecb5246bde6fe88f,125;
0x2cd92c6fe91acdb978595edd5a1775922bf14da7,25;
0x2f36bcb63d86572ac04bba83dd314cbe66f5a197,1e-16;
0x31ceb913b89ccf412fc002e43722825f742748b2,11.5;
0x325d4e043900bc4814a8e0fd89b3580fa62bfa71,11.1;
0x35c9af7966f3d00d5ff19575d6f4621e37e2b2ea,23.01;
0x35fa9057e2147c6e8ecf6b9bb6625cfb55236763,1;
0x38de91848080ab9a0e47d13e07f48033c805adae,49.447363698372406;
0x38e87dea8b44059c54d1f6bd7fa390bd1ab82d08,25;
0x3a26389d7be5da1bb0dd5efdfeddbc1234678bbc,67;
0x3a90ee9f8840a187b144b3c90932d1314be1a19d,10;
0x3ca6ae0af24c274d8621f864260e9b571d96bccf,201;
0x420d7a4e8121980f2e46d85b0c8aa0740cdafeef,50.014124305604234;
0x42361b2eab69f0104e654a4f12c5887901a7645f,22;
0x43734ab9b3d27d724f6eb38aa7c9f1faf11799e8,10;
0x4428d7d19753962d6af32eed6ed1bfbfb4be86c7,20;
0x453742e6456e42f5171ccc2934db06265d6648d8,2.5;
0x469ef6753d056708681af22393340b4d94d6d675,11.14;
0x47a2f00830cfa95200da2a94607e62ae25d6c230,40;
0x49020b25dd9121861a586e339c1a1f0654cb3472,20;
0x49909d9a453130dfac6965de1a1c5c2f21510a7e,20;
0x4a6178df7dd9ca958943274852b3bd0d8e886ba6,12;
0x4b6db4022b3cf8006cb5378ac23b34ae4f785fae,25;
0x4c37c4767f4f256b9b32bafbee4d8080b61712cd,50.15;
0x4d86ed3479428f34ebab09b8a6f5633287fa38f5,7.717139;
0x51aecc4072a700b27686986af4ee8ede90401769,30;
0x53a4d82284fa3bdb8fee4fc771b37760bf024742,26.5;
0x569002f489bcdcf4e5fa14e61080554efc1167cc,38.13783813400009;
0x57a9ee01f171506f65d36a43319cddc8673c5363,177;
0x58243bc16f7c4afcad95fd8fddc5f034bb896a2c,106;
0x5842a2054ccf06b5f5aa0dd1ef6405db7c3ed063,51;
0x5b850c8f427e3c210f0ed2073553644c2002e8ac,0.0013491;
0x5ded0a69df8118fafa5af5d3648ceec68d783a87,70;
0x5e68d76d06630c535e660c489b2b0b97c17924fb,157.994177;
0x5f3095bd6defff7e4cd2546f1f30da651e0d1dfe,66;
0x60b8349170dbe1b5ae508d4b986171b5fb2070df,105;
0x62432f3e244843401e5bd7f3ebc6ccc630053f26,5;
0x65b88db70d89764619f16ca20400485380768117,5;
0x6659f10d9497f60475739d2b3e899f3816dd1851,2;
0x6957d2139d29e7db7913ac21e813f2a561e47ac8,101;
0x6af791cf9ea5fa5cf4a66a44c44a2ebad1e9a051,7.500604170772805;
0x6bdfc28dc268924b87ec6aca2252bda2951c6c96,100.14;
0x6c918050d09612f5f7afaee1b06e6052ca180270,101;
0x6d8dec3fd68d94a7189a98346ea52b4d32e00012,150;
0x6e132619f259a966f858ab81e24ec05d24e2b217,2;
0x72c42b2c4d4950748c18e8154650aa2b1ef59891,40.09335046453247;
0x739489b4bc8d4b99c7e8e75505bab49cbe81f99c,90;
0x740069f8dcc30ac0e2d5147a32136bd2afac9993,1.3676697641859554;
0x74f4e72cbb22a697f7abf9b99a554d5bade660ed,34.5;
0x764215053a41e77ed47451f9037c2b834da5838b,50.1490879033;
0x76c743184ed8f8b07762f1af98b1edad953cde6c,35;
0x77c359f6df27ec5ae24113a3be5a816c480cea97,50;
0x79f47be772ea703465f66e645c70a9ac013d9a70,50;
0x7d62aa74b5cb0cdf4d3de1d0d1beb592d84b5474,1.1;
0x7dc359ddbc325496345d53294be87fcee59f1a0e,191.12842413708515;
0x7e9210ee1fda34d83d397883ec165127395f3265,500;
0x7fc4b6c80150cd2ee119b033999846fd226c4c90,5.455e-15;
0x804a393a0356b8cabe9f5fd781f74cbc7b37027e,25;
0x818854b363b90791a9ebc29e2f9c7f1055ee5a4d,1000;
0x83041d3fe06b6635a537bae932d7a6a236527076,40;
0x83198be1984660709cecc612cc562964118738e3,103.96069172;
